95,5
36,1
12,3
45,0
193,4
89,-1
48,2
175,-1
195,4
111,-1
136,2
151,4
26,9
191,10
65,0
63,7
30,10
77,8
84,-1
114,6
57,0
179,-1
165,4
93,8
41,1
143,9
72,3
139,10
1,-1
42,9
163,0
7,-1
47,4
46,1
25,9
4,2
157,5
112,6
3,10
166,10
96,6
110,7
125,5
107,9
170,5
180,3
183,9
104,2
126,6
194,1
149,4
176,0
103,5
80,6
146,-1
2,0
58,6
137,7
98,10
52,8
23,5
168,6
178,0
113,1
122,9
142,3
60,5
81,5
75,-1
102,0
182,4
123,2
5,-1
83,7
15,6
106,7
160,4
55,0
130,-1
28,10
184,1
192,0
17,7
127,4
85,9
108,7
134,0
141,-1
185,10
100,0
198,0
109,0
169,2
196,4
97,7
68,2
6,7
66,3
69,5
140,2
76,8
29,3
71,2
39,9
9,9
8,9
14,4
90,5
118,0
50,3
24,1
128,4
181,6
33,6
116,8
91,7
138,-1
64,5
132,10
82,2
20,8
154,8
133,8
174,0
199,9
187,4
153,0
32,3
129,-1
131,3
145,8
56,9
189,10
44,0
144,7
31,4
155,8
119,-1
54,4
78,3
167,5
121,9
61,0
200,2
156,9
11,-1
171,3
177,6
10,8
115,1
86,9
34,1
40,9
148,-1
186,6
74,7
92,9
37,-1
101,6
27,1
150,10
13,3
124,7
164,10
53,9
173,10
19,7
158,8
159,10
152,2
79,9
38,7
172,2
147,9
67,5
35,0
94,6
51,1
135,8
59,2
197,3
117,0
21,5
105,2
190,7
73,-1
70,-1
