71,66
167,66
178,63
149,58
79,57
4,57
128,55
66,53
104,52
146,52
175,52
184,50
140,50
185,50
5,50
133,49
61,48
25,48
55,48
101,48
70,46
1,46
60,46
30,45
92,45
96,45
168,45
87,45
134,45
18,44
105,43
155,43
88,43
86,43
113,43
59,43
187,42
44,42
173,42
78,41
50,41
159,40
111,40
10,40
156,40
100,39
125,39
28,38
93,38
16,38
45,37
139,37
65,37
121,37
83,36
117,36
35,35
85,35
53,35
3,34
129,34
118,34
191,33
108,33
135,33
164,33
46,33
26,33
137,32
162,32
64,32
29,31
90,31
138,30
161,30
43,30
179,30
147,29
73,29
148,28
198,28
6,28
77,28
177,27
183,27
39,27
80,26
21,26
42,26
171,25
157,24
199,23
11,23
27,20
8,20
127,17
176,15
