26,33
167,66
117,36
18,44
134,45
179,30
46,33
96,45
168,45
50,41
129,34
125,39
164,33
101,48
11,23
78,41
39,27
59,43
66,53
173,42
183,27
178,63
87,45
157,24
149,58
1,46
45,37
140,50
3,34
25,48
5,50
118,34
8,20
171,25
104,52
44,42
60,46
4,57
175,52
146,52
121,37
6,28
53,35
185,50
113,43
86,43
100,39
71,66
161,30
70,46
135,33
42,26
191,33
159,40
198,28
88,43
138,30
77,28
80,26
162,32
139,37
16,38
27,20
92,45
79,57
105,43
43,30
73,29
55,48
133,49
137,32
177,27
64,32
30,45
65,37
85,35
10,40
29,31
155,43
90,31
61,48
156,40
93,38
28,38
111,40
199,23
148,28
187,42
128,55
184,50
147,29
35,35
83,36
21,26
127,17
176,15
108,33
