193,3
131,4
111,8
36,4
198,10
71,10
20,7
23,2
2,1
174,7
7,9
167,7
186,6
51,8
5,5
84,4
38,5
31,7
196,10
134,10
92,8
194,8
58,2
190,7
183,6
10,6
47,8
17,4
143,7
106,7
110,4
109,1
140,6
34,6
165,1
55,4
69,1
130,8
43,8
141,1
126,7
93,2
32,10
123,8
171,9
147,10
148,6
158,1
99,5
179,10
159,4
178,6
145,1
181,4
105,2
3,8
157,9
113,6
114,2
64,8
125,5
115,1
62,6
197,7
172,5
79,10
176,1
146,4
192,7
75,7
112,5
169,2
95,2
108,3
85,6
25,6
89,10
185,2
188,1
118,2
29,8
76,10
70,9
144,8
128,6
170,4
19,1
56,3
180,6
132,10
48,5
173,7
156,8
184,2
149,5
199,4
74,1
61,3
200,6
166,2
44,6
13,10
139,2
161,6
163,6
127,10
136,1
151,6
57,9
90,7
16,5
67,9
97,5
45,8
52,6
18,9
22,1
168,9
121,9
138,9
46,9
6,6
11,5
54,2
73,7
53,3
155,1
98,2
86,7
94,9
82,9
177,1
191,5
88,2
182,10
15,4
28,2
187,1
8,5
12,1
91,8
39,6
102,1
80,7
129,9
60,3
33,8
63,4
41,2
103,2
4,4
195,7
96,10
59,9
152,10
35,9
104,8
107,7
1,3
78,8
72,1
26,10
124,7
135,8
14,5
77,5
162,7
175,8
24,5
40,8
133,5
116,10
164,4
42,10
65,6
27,8
120,7
189,9
87,1
160,4
119,7
30,1
122,6
37,10
101,4
142,2
153,6
